country_code,year,risk_score,economic_risk_score,political_risk_score,country
IND,2018,35.2,31.7,38.6,India
IRN,2018,56.9,46.0,62.3,Iran
IRQ,2018,50.9,22.8,79.1,Iraq
ISR,2018,20.8,31.3,12.0,Israel
JOR,2018,38.1,41.3,35.4,Jordan
KWT,2018,32.3,28.6,35.4,Kuwait
LBN,2018,56.3,51.9,60.0,Lebanon
LBY,2018,51.2,6.9,88.0,Libya
LKA,2018,40.5,40.8,40.3,Sri Lanka
MAR,2018,42.1,38.7,44.8,Morocco
MDV,2018,45.2,41.0,48.7,Maldives
NPL,2018,44.5,33.4,53.8,Nepal
OMN,2018,34.3,41.6,28.1,Oman
PAK,2018,51.8,37.2,63.9,Pakistan
PSE,2018,55.4,56.5,54.7,Palestine
QAT,2018,25.0,35.5,16.2,Qatar
SAU,2018,31.8,24.4,37.9,Saudi Arabia
SDN,2018,81.9,84.4,80.1,Sudan
SOM,2018,89.9,52.9,96.1,Somalia
SSD,2018,84.0,68.8,94.1,South Sudan
SYR,2018,65.4,21.3,87.5,Syria
TUN,2018,41.7,45.0,39.1,Tunisia
TUR,2018,41.4,36.3,46.6,Turkey
YEM,2018,76.0,31.7,90.7,Yemen
AFG,2019,64.8,38.3,86.9,Afghanistan
ARE,2019,11.4,13.6,10.3,UAE
BGD,2019,47.7,30.0,62.4,Bangladesh
BHR,2019,42.3,48.0,36.6,Bahrain
BTN,2019,31.4,47.2,15.5,Bhutan
DJI,2019,44.1,26.1,59.1,Djibouti
DZA,2019,48.9,35.2,60.3,Algeria
EGY,2019,45.8,33.2,56.3,Egypt
ERI,2019,69.8,4.2,80.8,Eritrea
ETH,2019,44.4,30.5,58.3,Ethiopia
IND,2019,36.4,32.7,39.4,India
IRN,2019,56.4,36.1,66.5,Iran
IRQ,2019,54.8,25.0,79.7,Iraq
ISR,2019,19.5,28.0,12.4,Israel
JOR,2019,38.2,39.9,36.5,Jordan
KWT,2019,30.4,23.9,35.7,Kuwait
LBN,2019,55.9,46.9,63.4,Lebanon
LBY,2019,61.2,27.4,89.5,Libya
LKA,2019,40.8,41.0,40.7,Sri Lanka
MAR,2019,40.1,35.4,44.1,Morocco
MDV,2019,43.5,42.3,44.5,Maldives
NPL,2019,41.3,27.2,55.4,Nepal
OMN,2019,33.3,40.1,27.7,Oman
PAK,2019,54.2,42.2,64.2,Pakistan
PSE,2019,54.8,51.8,56.9,Palestine
QAT,2019,24.0,34.4,15.3,Qatar
SAU,2019,30.7,22.2,37.9,Saudi Arabia
SDN,2019,74.3,65.2,80.3,Sudan
SOM,2019,85.6,28.4,95.1,Somalia
SSD,2019,83.8,66.7,95.2,South Sudan
SYR,2019,66.4,19.4,90.0,Syria
TUN,2019,41.0,41.7,40.4,Tunisia
TUR,2019,40.5,34.3,46.7,Turkey
YEM,2019,92.3,100.0,91.1,Yemen
AFG,2020,62.8,34.0,86.8,Afghanistan
ARE,2020,11.2,14.6,9.5,UAE
