country_code,year,debt_to_gdp,current_account_pct_gdp,reserves_months_imports,gdp_growth,inflation,currency_depreciation_pct,political_stability,government_effectiveness,rule_of_law,regulatory_quality,control_of_corruption
TUN,2017,,58.742434495050965,95.08066416003962,80.50130852006767,3.256033108708057,12.650404839514904,48.57347938291648,39.10520398534202,31.11969176393943,41.85554973724754,46.733902599560565
TUR,2017,0.0,39.67636833236451,92.11375693347821,65.66448979048452,6.348709813301594,18.108845215569655,73.4725924699461,33.973957589898,46.99916040032103,32.896178145717,48.16936164430909
YEM,2017,,,,100.0,,3.797363425184309,100.0,88.83331553171287,80.79922861817556,73.21272023815185,94.77233232569226
AFG,2018,,86.2302404254066,76.10752282659236,59.915384739631286,0.981230488735394,10.356446479596599,96.66178940005187,85.45050327758116,80.85359063346888,78.20024419251811,90.98593961675734
ARE,2018,,,,57.09017899739142,3.899489481137412,8.285096317946348,7.505886915405522,5.109456204989832,16.27361951762036,5.82249472676796,10.931099268901992
BGD,2018,,43.31010449908547,88.97983724980294,10.144933842615407,6.8565827207152115,9.593046841504965,55.82785975444864,54.65591065438728,56.409336224102226,61.45006209557285,77.63944117963993
BHR,2018,83.12171427334494,52.04821397691578,98.45886711060695,52.90583349695777,2.727441900619506,8.285096317946348,52.45252711810144,32.85440662551326,30.430640558846434,22.40763231704813,48.679712364651294
BTN,2018,100.0,79.41676871205698,84.58262014686396,41.13922537806868,3.4876809044227777,10.028280380016552,0.0,24.477124771602256,7.134675363552223,38.56864137171947,0.0
DJI,2018,,5.833918998172693,97.75961449110804,30.808169138791282,0.3989935374357915,8.285096317946348,37.90406927109713,61.70620579947177,58.81408571518645,59.84410418884868,69.26367679541234
DZA,2018,,57.66649533924166,68.6871071466371,58.20414569345448,5.334859468982659,10.044552098634165,45.332467326374015,49.7018549712173,54.82115156237215,69.92910344596255,60.851621497345675
EGY,2018,,44.91330119332622,88.62137485234055,26.28780640216158,17.439856643338004,8.255319449772838,61.83009031098678,51.14281967602079,49.25986666098853,59.35750072775809,58.94769511111244
ERI,2018,,,,,,8.285096317946348,53.242032912472595,80.22191860412565,80.53477016515795,95.88757474514028,87.89613937733846
ETH,2018,7.447753306535899,50.675736304353805,95.55728780354917,14.230898666667317,16.760701374208114,13.471522740848876,60.529483561839555,54.91288599353864,52.79290585793125,63.114563175744884,58.14279968862688
IND,2018,27.89704643328742,43.79548150511561,86.55518867517276,17.172352909355617,4.939187971808647,10.028280380016552,46.787762268934756,25.52675583811596,27.353322072661424,42.8946498407748,50.657622007404846
IRN,2018,,,,100.0,21.7562218814857,16.270539029357252,54.84493698669956,48.79028952132537,57.48885350014984,77.6747563181489,72.93735798917871
IRQ,2018,0.0,4.937972876810708,74.50521059336607,48.18661357616061,0.672128870458876,8.24842235361717,85.97334516759092,72.85220041650363,73.49290614225484,73.79021909718927,89.24567574659521
ISR,2018,,33.05445107443683,77.56747708748095,36.660606840979995,1.194992040219501,8.198266533915612,38.15819298106594,0.0,0.0,0.0,21.719006022579517
JOR,2018,,52.254060977314424,85.87667547105221,54.519504466341616,5.564642751043209,8.285096317946348,37.99292010358071,39.166456964123455,24.186094845910212,33.70474772266318,42.05336074365664
KWT,2018,,0.0,86.75594505220495,47.297759080735744,0.8820437069468832,8.125548980050187,22.94979912314578,36.25987460346617,28.80474084264824,36.06686448089308,52.769761113962886
LBN,2018,,92.34743002619187,66.32088065720383,84.87239468029458,7.493845699795997,8.285096317946348,61.303018429505194,55.325631165830046,51.872862866955906,50.066647804495844,81.43841315846629
LBY,2018,,5.850902210448945,0.0,5.095331849159327,15.96875581146361,7.565996782394861,89.33000462669114,84.24820743387325,76.13485648704717,100.0,90.42907881980071
LKA,2018,,44.98392187533305,94.63873972884835,50.81524839697049,2.7840371931062466,10.567974008489045,35.862341619035156,42.54623223761695,29.788134876983335,42.94762712774978,50.47079935642732
MAR,2018,,49.21309658027688,90.22941760136271,44.680944232491825,2.3884167279005015,7.188720925795438,40.290010431834766,47.221920933628105,37.69429884664296,40.028964725764446,58.96877138226246
MDV,2018,,100.0,96.54982423762404,0.0,0.07375969887176027,8.293830419287973,32.635147609392476,48.533382362725426,46.09473280566418,44.902887414188356,71.43902338932942
NPL,2018,,56.805746631093015,87.12218452703557,7.685198952657431,5.498072593844851,9.753630434785023,42.01964118807833,65.7512442808591,39.461191815092654,55.28888686294443,66.65225733779764
OMN,2018,,49.16297783412434,90.36284443896776,59.12073948874937,1.295655572464151,8.285096317946348,15.451218195932675,37.71522256376259,21.674683393974973,20.793466877953286,44.92824273040015
PAK,2018,,50.1492694997255,96.44517437056072,19.62547299494723,6.300330819343898,13.677114893741685,80.88383624841654,54.187223339657244,53.339407026610544,57.46152081827375,73.6060954599098
PSE,2018,,67.54656012068914,98.83128492369771,59.60808988449856,0.0,,68.29557946763265,57.062081857910925,54.92670434881042,39.78585343945828,53.5476820778242
QAT,2018,,18.301550322423886,90.91968443406535,59.544804365235535,0.5387589886346535,8.285096317946348,6.785027674853736,20.10056404065675,14.434133427183028,18.225357029961884,21.429278889000834
SAU,2018,,20.924121046913466,46.26395031551371,43.37128552168336,3.1793999742476666,8.285096317946348,43.788525002625306,35.46902850157273,35.55463891576858,35.14880652434932,39.6816556894675
SDN,2018,,70.46888878497758,,91.33687661922336,75.85443954886652,100.0,73.98700686992426,82.15756445888734,70.73003703986407,83.35846019812129,90.49548522082085
SOM,2018,,,,52.89181681576548,,,83.04806766393624,100.0,100.0,98.26405775670017,99.26842063204228
SSD,2018,,58.43914977423557,100.0,,100.0,16.763615826465415,89.88161325609349,98.7650456721628,86.81413770578428,95.04142177559703,100.0
SYR,2018,,,,58.25908444943623,1.3573921901160506,4.328312637023087,92.93646054320348,83.57418018426588,83.29533968341413,85.00836772054924,92.71569886377328
TUN,2018,,62.32943946110178,93.55261460450514,48.404860887896604,8.964158870814368,11.550654401619248,43.75024225050102,35.74773070977602,28.91213079684621,41.97146831986191,44.97932481169137
TUR,2018,2.867645962600521,42.52267558757259,91.867504963598,41.412985441994955,19.746996071192566,19.52333733575305,58.40855597208585,38.41701350207868,49.04182484248864,35.52732366468409,51.391608177069195
YEM,2018,,,,63.4615690741014,,0.0,100.0,94.40974306897822,81.84771710191036,79.75858182441343,97.57554942941586
AFG,2019,,88.06155938524381,65.32402080490094,22.7630057908241,4.993707408931022,10.184133054414604,99.39320641016766,87.95237846223569,81.38452256914736,77.37667873383913,88.3497381134383
ARE,2019,,,,36.2614181136704,0.2584882871182244,4.2462368578697545,9.01087014533159,9.912259343024978,15.738497560081663,5.442318966501145,11.26993214885481
BGD,2019,,47.18931880007506,86.52630280188363,2.4650635144867135,8.673230361058971,5.1416114373781046,57.09234048691868,55.50870788230577,58.164653257000474,64.48004388258221,76.55351655238944
BHR,2019,100.0,49.567131406694195,98.11827721028995,32.26561135888447,3.5434824795132673,4.2462368578697545,47.23299819121543,36.515790322299495,29.752090202441256,23.010161378231857,46.36633720198059
BTN,2019,98.32675364077683,84.12001652148791,75.43733852859556,13.338009859761756,5.4680262609171315,6.494001635021886,0.0,29.66211880545242,7.903215186689592,40.1745709050702,0.0
